NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription,rain
SOEMTN,5905,1/4.1/1,2019-01-01 00:00:00,15,Near End,712480_yad-mordchi.1,AMM 6PD,-,-44.8,0.0,0,85RE,6G0V,-,0.08098425242153187
SOEMTN,7787,1/2.1/1,2019-01-01 00:00:00,15,Near End,510276_sde-dov<--beit hatfuzot.1,MINI-LINK CN510,-,-45.1,0.0,0,U775,E62B,-,0.0
SOEMTN,7900,1/3.1/1,2019-01-01 00:00:00,15,Near End,930228_neve-amirim<--aganey hahimzun her.1,AMM 2PB,-,-39.5,0.0,0,PZC2,9DR8,-,0.0
SOEMTN,5905,1/4.1/1,2019-01-01 00:15:00,15,Near End,712480_yad-mordchi.1,AMM 6PD,-,-43.8,0.0,0,85RE,6G0V,-,0.0
SOEMTN,7787,1/2.1/1,2019-01-01 00:15:00,15,Near End,510276_sde-dov<--beit hatfuzot.1,MINI-LINK CN510,-,-45.1,0.0,0,U775,E62B,-,0.0
SOEMTN,7900,1/3.1/1,2019-01-01 00:15:00,15,Near End,930228_neve-amirim<--aganey hahimzun her.1,AMM 2PB,-,-39.5,0.0,0,PZC2,9DR8,-,0.0
SOEMTN,5905,1/4.1/1,2019-01-01 00:30:00,15,Near End,712480_yad-mordchi.1,AMM 6PD,-,-44.8,0.0,0,85RE,6G0V,-,0.08098425242153187
SOEMTN,7787,1/2.1/1,2019-01-01 00:30:00,15,Near End,510276_sde-dov<--beit hatfuzot.1,MINI-LINK CN510,-,-45.1,0.0,0,U775,E62B,-,0.0
SOEMTN,7900,1/3.1/1,2019-01-01 00:30:00,15,Near End,930228_neve-amirim<--aganey hahimzun her.1,AMM 2PB,-,-39.5,0.0,0,PZC2,9DR8,-,0.0
SOEMTN,7787,1/2.1/1,2019-01-01 00:45:00,15,Near End,510276_sde-dov<--beit hatfuzot.1,MINI-LINK CN510,-,-45.1,0.0,0,U775,E62B,-,0.0
SOEMTN,7900,1/3.1/1,2019-01-01 00:45:00,15,Near End,930228_neve-amirim<--aganey hahimzun her.1,AMM 2PB,-,-39.5,0.0,0,PZC2,9DR8,-,0.0
SOEMTN,5905,1/4.1/1,2019-01-01 00:45:00,15,Near End,712480_yad-mordchi.1,AMM 6PD,-,-44.2,0.0,0,85RE,6G0V,-,0.0
SOEMTN,7900,1/3.1/1,2019-01-01 01:00:00,15,Near End,930228_neve-amirim<--aganey hahimzun her.1,AMM 2PB,-,-39.5,0.0,0,PZC2,9DR8,-,0.0
SOEMTN,5905,1/4.1/1,2019-01-01 01:00:00,15,Near End,712480_yad-mordchi.1,AMM 6PD,-,-43.8,0.0,0,85RE,6G0V,-,0.0
SOEMTN,7787,1/2.1/1,2019-01-01 01:00:00,15,Near End,510276_sde-dov<--beit hatfuzot.1,MINI-LINK CN510,-,-45.1,0.0,0,U775,E62B,-,0.0
SOEMTN,7900,1/3.1/1,2019-01-01 01:15:00,15,Near End,930228_neve-amirim<--aganey hahimzun her.1,AMM 2PB,-,-39.5,0.0,0,PZC2,9DR8,-,0.0
SOEMTN,5905,1/4.1/1,2019-01-01 01:15:00,15,Near End,712480_yad-mordchi.1,AMM 6PD,-,-43.5,0.0,0,85RE,6G0V,-,0.0
SOEMTN,7787,1/2.1/1,2019-01-01 01:15:00,15,Near End,510276_sde-dov<--beit hatfuzot.1,MINI-LINK CN510,-,-45.1,0.0,0,U775,E62B,-,0.0
SOEMTN,7900,1/3.1/1,2019-01-01 01:30:00,15,Near End,930228_neve-amirim<--aganey hahimzun her.1,AMM 2PB,-,-39.5,0.0,0,PZC2,9DR8,-,0.0
SOEMTN,7787,1/2.1/1,2019-01-01 01:30:00,15,Near End,510276_sde-dov<--beit hatfuzot.1,MINI-LINK CN510,-,-45.1,0.0,0,U775,E62B,-,0.0
SOEMTN,5905,1/4.1/1,2019-01-01 01:30:00,15,Near End,712480_yad-mordchi.1,AMM 6PD,-,-45.1,0.0,0,85RE,6G0V,-,0.15941786416060164
SOEMTN,7787,1/2.1/1,2019-01-01 01:45:00,15,Near End,510276_sde-dov<--beit hatfuzot.1,MINI-LINK CN510,-,-45.1,0.0,0,U775,E62B,-,0.0
SOEMTN,7900,1/3.1/1,2019-01-01 01:45:00,15,Near End,930228_neve-amirim<--aganey hahimzun her.1,AMM 2PB,-,-39.5,0.0,0,PZC2,9DR8,-,0.0
SOEMTN,5905,1/4.1/1,2019-01-01 01:45:00,15,Near End,712480_yad-mordchi.1,AMM 6PD,-,-44.5,0.0,0,85RE,6G0V,-,0.0
SOEMTN,7787,1/2.1/1,2019-01-01 02:00:00,15,Near End,510276_sde-dov<--beit hatfuzot.1,MINI-LINK CN510,-,-45.1,0.0,0,U775,E62B,-,0.0
SOEMTN,7900,1/3.1/1,2019-01-01 02:00:00,15,Near End,930228_neve-amirim<--aganey hahimzun her.1,AMM 2PB,-,-39.1,0.0,0,PZC2,9DR8,-,0.0
SOEMTN,5905,1/4.1/1,2019-01-01 02:00:00,15,Near End,712480_yad-mordchi.1,AMM 6PD,-,-43.8,0.0,0,85RE,6G0V,-,0.0
SOEMTN,7900,1/3.1/1,2019-01-01 02:15:00,15,Near End,930228_neve-amirim<--aganey hahimzun her.1,AMM 2PB,-,-39.5,0.0,0,PZC2,9DR8,-,0.0
SOEMTN,5905,1/4.1/1,2019-01-01 02:15:00,15,Near End,712480_yad-mordchi.1,AMM 6PD,-,-44.2,0.0,0,85RE,6G0V,-,0.0
SOEMTN,7787,1/2.1/1,2019-01-01 02:15:00,15,Near End,510276_sde-dov<--beit hatfuzot.1,MINI-LINK CN510,-,-45.1,0.0,0,U775,E62B,-,0.0
SOEMTN,5905,1/4.1/1,2019-01-01 02:30:00,15,Near End,712480_yad-mordchi.1,AMM 6PD,-,-43.8,0.0,0,85RE,6G0V,-,0.0
SOEMTN,7787,1/2.1/1,2019-01-01 02:30:00,15,Near End,510276_sde-dov<--beit hatfuzot.1,MINI-LINK CN510,-,-44.8,0.0,0,U775,E62B,-,0.0
SOEMTN,7900,1/3.1/1,2019-01-01 02:30:00,15,Near End,930228_neve-amirim<--aganey hahimzun her.1,AMM 2PB,-,-39.5,0.0,0,PZC2,9DR8,-,0.0
SOEMTN,5905,1/4.1/1,2019-01-01 02:45:00,15,Near End,712480_yad-mordchi.1,AMM 6PD,-,-44.2,0.0,0,85RE,6G0V,-,0.0
SOEMTN,7787,1/2.1/1,2019-01-01 02:45:00,15,Near End,510276_sde-dov<--beit hatfuzot.1,MINI-LINK CN510,-,-44.5,0.0,0,U775,E62B,-,0.0
SOEMTN,7900,1/3.1/1,2019-01-01 02:45:00,15,Near End,930228_neve-amirim<--aganey hahimzun her.1,AMM 2PB,-,-39.5,0.0,0,PZC2,9DR8,-,0.0
SOEMTN,7787,1/2.1/1,2019-01-01 03:00:00,15,Near End,510276_sde-dov<--beit hatfuzot.1,MINI-LINK CN510,-,-44.8,0.0,0,U775,E62B,-,0.0
SOEMTN,7900,1/3.1/1,2019-01-01 03:00:00,15,Near End,930228_neve-amirim<--aganey hahimzun her.1,AMM 2PB,-,-39.5,0.0,0,PZC2,9DR8,-,0.0
SOEMTN,5905,1/4.1/1,2019-01-01 03:00:00,15,Near End,712480_yad-mordchi.1,AMM 6PD,-,-44.2,0.0,0,85RE,6G0V,-,0.0
